DATA;AUTORE;FDI;PD;M5S;LEGA;FI;PIUEUR e IV;AZIONE;SINISTRA;SANTORO;ALTRI
22/01/2024;Tecné srl;29,0;19,5;16,3;8,4;9,3;5,4;3,7;3,5;;4,9
23/01/2024;Euromedia Research;28,5;19,5;17,8;8,4;7,5;5,3;4,3;3,4;;5,3
29/01/2024;Tecné srl;28,8;19,6;16,5;8,4;9,3;5,3;3,5;3,6;;5,0
05/02/2024;Sondaggi BiDiMedia;28,6;19,3;16,1;9,0;6,6;5,6;4,2;3,8;;6,8
05/02/2024;SWG spa;28,1;20,0;15,9;8,5;7,3;5,5;4,3;4,0;;6,4
12/02/2024;SWG spa;27,9;19,7;15,7;8,3;7,3;5,6;4,3;4,2;;7,0
13/02/2024;Sondaggi BiDiMedia;28,3;19,7;15,6;9,0;6,6;5,6;4,1;3,7;;7,4
13/02/2024;Tecné srl;28,4;19,8;16,2;8,2;9,1;5,4;3,9;3,8;;5,2
15/02/2024;Euromedia Research;28,3;19,5;16,6;8,4;7,3;5,4;4,0;3,8;;6,7
19/02/2024;SWG spa;28,2;20,1;15,3;8,0;7,1;5,7;4,2;4,3;;7,1
26/02/2024;SWG spa;27,7;20,0;15,6;8,1;7,1;5,9;4,4;4,2;;7,0
26/02/2024;Tecné srl;28,2;20,0;15,9;8,1;9,3;5,6;3,9;4,1;;4,9
27/02/2024;Euromedia Research;27,6;19,6;17,0;8,6;7,9;5,7;4,3;4,0;;5,3
29/02/2024;Sondaggi BiDiMedia;28,1;20,0;15,5;8,5;6,5;5,4;4,3;3,9;;7,8
04/03/2024;SWG spa;27,3;20,0;15,8;8,0;7,6;5,9;4,3;4,2;;6,9
05/03/2024;Tecné srl;27,7;20,3;15,9;7,9;9,2;5,9;4,0;4,0;;5,1
08/03/2024;Sondaggi BiDiMedia;27,1;20,1;16,1;8,8;6,7;5,2;4,1;4,1;;7,8
11/03/2024;SWG spa;27,1;20,2;15,4;8,1;7,6;5,8;4,5;4,1;;7,2
11/03/2024;Tecné srl;27,8;20,2;15,8;7,9;9,3;5,6;4,1;4,1;;5,2
12/03/2024;Euromedia Research;28,0;19,7;17,2;8,7;7,7;6,2;3,9;3,9;;4,7
18/03/2024;SWG spa;26,8;19,8;15,3;8,0;7,8;6,1;4,3;4,2;;7,7
25/03/2024;SWG spa;27,0;19,9;15,6;8,3;7,7;6,2;4,0;4,1;1,6;5,6
28/03/2024;Euromedia Research;27,5;19,3;17,5;8,8;8,0;4,7;4,0;3,5;2,0;4,7
01/04/2024;Tecné srl;27,5;20,5;15,6;7,8;9,4;6,2;3,6;4,0;;5,4
05/04/2024;Sondaggi BiDiMedia;27,1;20,2;16,6;8,3;7,1;5,1;4,4;4,4;1,5;5,3
08/04/2024;SWG spa;26,9;19,8;15,6;8,8;7,8;5,3;4,0;3,9;1,6;6,3
09/04/2024;Euromedia Research;26,9;19,7;17,6;8,7;8,5;4,4;3,8;3,7;1,8;4,9
10/04/2024;Istituto Piepoli;28,0;20,0;17,0;8,0;8,0;4,5;4,0;3,5;;7,0
13/04/2024;Tecné srl;27,3;19,8;16,2;7,9;10,1;5,5;3,6;3,7;1,6;4,3
15/04/2024;SWG spa;27,2;19,4;16,0;8,6;8,4;5,2;4,2;4,1;1,8;5,1
19/04/2024;Istituto Piepoli;27,5;19,5;16,5;8,0;8,5;5,0;3,5;3,5;;8,0
